team_id,team_name,season,runs,pa,ab,h,b2,b3,hr,bb,hbp,sf,tb,rbi,avg,obp,slg
141,Toronto Blue Jays,2012,716,6094,5487,1346,247,22,198,473,55,45,2231,677,0.245307089,0.309240924,0.406597412
121,New York Mets,2013,619,6207,5559,1318,263,32,130,512,51,32,2035,593,0.237093002,0.305654859,0.366073035
110,Baltimore Orioles,2011,708,6156,5585,1434,273,13,191,452,52,43,2306,684,0.256759176,0.316046967,0.412891674
116,Detroit Tigers,2011,787,6231,5563,1540,297,34,169,521,39,58,2412,750,0.276829049,0.339750849,0.433579004
135,San Diego Padres,2011,593,6074,5417,1284,247,42,91,501,48,47,1888,563,0.237031567,0.304839514,0.348532398
138,St. Louis Cardinals,2010,736,6241,5542,1456,285,18,150,541,50,40,2227,689,0.262721039,0.331605378,0.401840491
158,Milwaukee Brewers,2013,640,6064,5474,1381,238,43,157,407,71,35,2176,610,0.252283522,0.310506097,0.397515528
147,New York Yankees,2011,867,6306,5518,1452,267,33,222,627,74,51,2451,836,0.263138818,0.34338118,0.444182675
110,Baltimore Orioles,2015,713,6007,5485,1370,246,20,217,418,51,32,2307,686,0.249772106,0.307216839,0.420601641
120,Washington Nationals,2015,703,6117,5428,1363,265,13,177,539,44,51,2185,665,0.25110538,0.321016166,0.402542373
116,Detroit Tigers,2015,689,6159,5605,1515,289,49,151,455,41,35,2355,660,0.27029438,0.32773794,0.420160571
147,New York Yankees,2015,764,6268,5567,1397,272,19,212,554,63,54,2343,737,0.250943057,0.322859891,0.420873002
137,San Francisco Giants,2015,696,6153,5565,1486,288,39,136,457,49,37,2260,663,0.267026056,0.326129666,0.406109614
117,Houston Astros,2016,724,6204,5545,1367,291,29,198,554,47,31,2310,689,0.246528404,0.318601263,0.416591524
113,Cincinnati Reds,2014,595,5978,5395,1282,254,20,131,415,52,37,1969,562,0.237627433,0.296490931,0.364967563
115,Colorado Rockies,2013,706,6152,5599,1511,283,36,159,427,26,35,2343,673,0.26986962,0.322654838,0.418467583
134,Pittsburgh Pirates,2012,651,6014,5412,1313,241,37,170,444,51,45,2138,620,0.242609017,0.303763441,0.395048041
116,Detroit Tigers,2012,726,6119,5476,1467,279,39,163,511,57,39,2313,698,0.267896275,0.334538879,0.422388605
140,Texas Rangers,2011,855,6261,5659,1599,310,32,210,475,39,49,2603,807,0.282558756,0.339601414,0.459975261
137,San Francisco Giants,2012,718,6200,5558,1495,287,57,103,483,29,61,2205,675,0.268981648,0.327352797,0.396725441
136,Seattle Mariners,2014,634,5977,5450,1328,247,32,136,396,60,34,2047,600,0.243669725,0.3003367,0.37559633
119,Los Angeles Dodgers,2014,718,6231,5560,1476,302,38,134,519,61,43,2256,686,0.265467626,0.332524664,0.405755396
108,Los Angeles Angels,2012,767,6121,5536,1518,273,22,187,449,47,41,2396,732,0.274205202,0.331631813,0.432803468
158,Milwaukee Brewers,2011,721,6113,5447,1422,276,31,185,481,56,44,2315,693,0.261061135,0.324983411,0.42500459
