season,home_team,league,event_type,game_id,event_id,balls,strikes,outs,runner_1b,runner_2b,runner_3b,post_outs,post_runner_1b,post_runner_2b,post_runner_3b,is_pa,event_runs,is_sb,is_cs
2016,CIN,NL,Field Out,448876,466,3,2,2,1,1,1,3,0,0,0,1,0,0,0
2016,CIN,NL,Strikeout,448876,515,2,2,1,1,0,0,2,0,1,0,1,0,1,0
2016,CIN,NL,Walk,448876,536,3,2,2,1,1,0,2,1,1,1,1,0,0,0
2016,NYM,NL,Stolen Base 2B,448878,11,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2016,NYM,NL,Stolen Base 3B,448878,17,2,1,0,0,1,0,0,0,0,1,0,0,1,0
2016,NYM,NL,Stolen Base 2B,448878,45,0,1,2,1,0,0,2,0,1,0,0,0,1,0
2016,NYM,NL,Stolen Base 3B,448878,206,1,1,2,0,1,0,2,0,0,1,0,0,1,0
2016,NYM,NL,Walk,448878,251,3,2,1,1,0,0,1,1,1,0,1,0,0,0
2016,NYM,NL,Strikeout,448878,267,3,2,2,1,1,0,3,0,0,0,1,0,0,0
2016,NYM,NL,Field Out,448878,608,1,2,2,1,0,0,3,1,0,0,1,0,0,0
2016,COL,NL,Field Out,448879,186,2,1,2,1,0,0,3,0,0,0,1,0,0,0
2016,COL,NL,Caught Stealing 2B,448879,484,1,1,2,1,0,1,3,0,0,0,0,0,0,1
2016,PHI,NL,Single,448880,197,3,2,2,1,0,0,2,1,1,0,1,0,0,0
2016,PHI,NL,Stolen Base 2B,448880,323,0,0,1,1,0,0,1,0,1,0,0,0,1,0
2016,PHI,NL,Double,448880,486,0,1,0,1,0,0,0,0,1,1,1,0,0,0
2016,PHI,NL,Field Out,448880,646,1,1,0,1,0,1,1,0,1,1,1,0,0,0
2016,PIT,NL,Field Out,448887,16,1,2,0,1,0,0,1,1,0,0,1,0,0,0
2016,PIT,NL,Field Out,448887,24,0,1,1,1,0,0,2,1,0,0,1,0,0,0
2016,PIT,NL,Stolen Base 2B,448887,30,0,0,2,1,0,0,2,0,1,0,0,0,1,0
2016,PIT,NL,Walk,448887,53,3,2,0,1,0,0,0,1,1,0,1,0,0,0
2016,PIT,NL,Field Error,448887,124,2,2,1,1,0,0,1,1,1,0,1,0,0,0
2016,PIT,NL,Stolen Base 2B,448887,165,0,0,2,1,0,0,2,0,1,0,0,0,1,0
2016,PIT,NL,Stolen Base 2B,448887,361,1,0,0,1,0,0,0,0,1,0,0,0,1,0
2016,PIT,NL,Walk,448887,521,3,2,1,1,0,1,1,1,1,1,1,0,0,0
2016,PIT,NL,Walk,448887,579,3,2,2,1,1,0,2,1,1,1,1,0,0,0
2016,LAD,NL,Strikeout,448889,17,1,2,0,1,0,0,1,0,1,0,1,0,1,0
2016,LAD,NL,Walk,448889,421,3,2,2,1,0,0,2,1,1,0,1,0,0,0
2016,LAD,NL,Field Out,448889,431,3,2,2,1,1,0,3,0,0,0,1,0,0,0
2016,CHC,NL,Strikeout,448890,68,3,2,2,1,0,0,3,0,0,0,1,0,0,0
2016,CHC,NL,Strikeout,448890,296,2,2,0,1,0,0,1,0,1,0,1,0,1,0
2016,CHC,NL,Strikeout,448890,356,3,2,1,1,0,0,2,0,1,0,1,0,1,0
2016,CIN,NL,Field Out,448891,240,3,2,2,1,0,0,3,0,0,0,1,0,0,0
2016,CIN,NL,Walk,448891,358,3,2,2,1,1,0,2,1,1,1,1,0,0,0
2016,CIN,NL,Strikeout,448891,392,1,2,0,1,0,0,1,1,0,0,1,0,0,0
2016,CIN,NL,Stolen Base 2B,448891,397,0,0,1,1,0,0,1,0,1,0,0,0,1,0
2016,CIN,NL,Caught Stealing 3B,448891,401,1,0,1,0,1,0,2,0,0,0,0,0,0,1
2016,CIN,NL,Stolen Base 2B,448891,469,1,1,0,1,0,0,0,0,1,0,0,0,1,0
2016,CIN,NL,Field Out,448891,523,1,2,2,1,0,1,3,0,0,0,1,0,0,0
2016,NYM,NL,Field Out,448893,160,0,1,2,1,0,0,3,0,0,0,1,0,0,0
2016,NYM,NL,Picked off stealing 2B,448893,319,0,1,2,1,0,0,3,0,0,0,0,0,0,1
2016,COL,NL,Stolen Base 2B,448894,18,1,2,0,1,0,0,0,0,1,0,0,0,1,0
2016,COL,NL,Strikeout,448894,251,3,2,2,1,1,0,3,0,0,0,1,0,0,0
2016,COL,NL,Stolen Base 2B,448894,289,1,0,0,1,0,0,0,0,1,0,0,0,1,0
2016,COL,NL,Strikeout,448894,475,3,2,1,1,0,0,2,0,1,0,1,0,1,0
2016,COL,NL,Stolen Base 2B,448894,573,0,0,2,1,0,0,2,0,1,0,0,0,1,0
2016,PHI,NL,Stolen Base 2B,448895,100,2,2,2,1,0,0,2,0,1,0,0,0,1,0
2016,PHI,NL,Strikeout,448895,104,3,2,2,0,1,0,3,0,0,0,1,0,0,0
2016,PHI,NL,Field Out,448895,208,3,2,2,1,0,0,3,0,0,0,1,0,0,0
2016,PHI,NL,Walk,448895,301,3,2,1,1,0,0,1,1,1,0,1,0,0,0
2016,PHI,NL,Strikeout,448895,456,3,2,1,1,0,0,2,0,1,0,1,0,1,0
2016,PIT,NL,Stolen Base 2B,448902,159,0,0,2,1,0,1,2,0,1,1,0,0,1,0
2016,PIT,NL,Caught Stealing 3B,448902,260,1,0,1,0,1,0,2,0,0,0,0,0,0,1
2016,PIT,NL,Walk,448902,353,3,2,2,1,0,1,2,1,1,1,1,0,0,0
2016,LAD,NL,Field Out,448904,159,3,2,1,1,0,0,2,0,1,0,1,0,0,0
2016,LAD,NL,Strikeout,448904,283,3,2,2,1,0,0,3,0,0,0,1,0,0,0
2016,LAD,NL,Field Out,448904,504,0,2,1,1,0,0,2,0,1,0,1,0,0,0
2016,CHC,NL,Field Out,448905,52,3,2,2,1,0,0,3,0,0,0,1,0,0,0
2016,CHC,NL,Stolen Base 3B,448905,244,2,1,1,0,1,0,1,0,0,1,0,0,1,0
2016,CHC,NL,Sac Bunt,448905,248,3,1,1,0,0,1,2,0,0,0,1,1,0,0
2016,CHC,NL,Strikeout,448905,317,3,2,2,1,0,0,3,0,0,0,1,0,0,0
2016,CHC,NL,Field Out,448905,564,3,2,2,1,1,0,3,0,0,0,1,0,0,0
2016,CHC,NL,Stolen Base 2B,448905,629,2,2,2,1,0,0,2,0,1,0,0,0,1,0
2016,CHC,NL,Caught Stealing 2B,448905,710,1,1,0,1,0,0,1,0,0,0,0,0,0,1
2016,CHC,NL,Stolen Base 2B,448905,719,0,0,1,1,0,0,1,0,1,0,0,0,1,0
2016,CIN,NL,Stolen Base 2B,448906,332,1,1,1,1,0,0,1,0,1,0,0,0,1,0
2016,NYM,NL,Forceout,448908,55,3,2,2,1,1,1,3,0,0,0,1,0,0,0
2016,LAD,NL,Field Out,448909,66,3,2,2,1,0,0,3,0,0,0,1,0,0,0
2016,LAD,NL,Double,448909,502,3,2,2,1,0,0,2,0,1,0,1,1,0,0
2016,LAD,NL,Field Out,448909,580,3,2,2,1,0,0,3,0,0,0,1,0,0,0
2016,WSH,NL,Grounded Into DP,448910,43,2,1,1,1,0,1,3,0,0,0,1,0,0,0
2016,WSH,NL,Strikeout,448910,269,1,2,0,1,1,0,1,1,0,1,1,0,1,0
2016,SD,NL,Picked off stealing 2B,448912,44,0,1,1,1,0,0,2,0,0,0,0,0,0,1
2016,SD,NL,Strikeout,448912,115,3,2,2,1,1,0,3,0,0,0,1,0,0,0
2016,SD,NL,Stolen Base 2B,448912,171,1,1,2,1,0,0,2,0,1,0,0,0,1,0
2016,SD,NL,Strikeout,448912,319,3,2,2,1,0,0,3,0,0,0,1,0,0,0
2016,MIL,NL,Caught Stealing 2B,448913,225,2,2,2,1,0,0,3,0,0,0,0,0,0,1
2016,CIN,NL,Double,448918,147,3,2,0,1,0,0,0,0,1,1,1,0,0,0
2016,MIA,NL,Caught Stealing 2B,448919,76,0,0,2,1,0,0,3,0,0,0,0,0,0,1
2016,MIA,NL,Field Out,448919,209,1,1,0,1,0,0,1,1,0,0,1,0,0,0
2016,MIA,NL,Strikeout,448919,218,1,2,1,1,0,0,2,0,1,0,1,0,1,0
2016,MIA,NL,Caught Stealing 2B,448919,289,0,0,1,1,0,0,2,0,0,0,0,0,0,1
2016,MIA,NL,Stolen Base 2B,448919,430,0,0,0,1,0,1,0,0,1,1,0,0,1,0
